img,bd_training_75_fotos_v1.pkl,bd_training_3_fotos_v1.pkl,bd_training_2_fotos_v1.pkl,bd_training_1_foto_v1.pkl,bd_training_75_fotos_v2.pkl,bd_training_3_fotos_v2.pkl,bd_training_2_fotos_v2.pkl,bd_training_1_foto_v2.pkl,bd_training_75_fotos_v0.pkl,bd_training_3_fotos_v0.pkl,bd_training_2_fotos_v0.pkl,bd_training_1_foto_v0.pkl
IMG_7160.JPG,N,N,N,N,N,S,S,S,N,N,N,N
paper-blank-white-empty.jpg,S,S,S,S,S,S,S,S,N,N,N,N
IMG_1707.jpg,N,S,S,S,N,S,S,S,N,N,N,N
IMG_7159.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7197.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7168.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7196.JPG,N,N,N,N,S,N,N,N,N,N,N,N
IMG_7186.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7169.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7167.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7236.JPG,S,S,S,S,S,S,S,S,N,N,N,N
IMG_7212.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7189.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7204.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7199.JPG,S,N,N,N,S,N,N,N,N,N,N,N
IMG_7174.JPG,S,S,S,N,S,S,S,S,N,N,N,N
IMG_7214.JPG,N,N,N,N,N,N,N,N,N,N,N,N
pI1oN.jpg,S,S,S,N,N,S,S,N,N,N,N,N
IMG_7158.JPG,S,S,S,S,S,S,S,N,N,N,N,N
IMG_7213.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7228.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7216.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7233.JPG,N,N,N,S,S,N,N,S,N,N,N,N
IMG_7203.JPG,N,N,N,N,N,N,N,N,N,N,N,N
IMG_7240.JPG,S,S,S,S,S,S,S,S,N,N,N,N
