nkp,cota_max,cota_min,kp_encontrados
100,150,130,804
200,150,130,1038
300,150,130,1234
400,150,130,1408
100,170,130,1413
500,150,130,1592
200,170,130,1842
100,190,130,2025
300,170,130,2197
400,170,130,2502
100,210,130,2518
200,190,130,2703
500,170,130,2821
100,230,130,2845
100,250,130,3016
300,190,130,3216
200,210,130,3410
400,190,130,3628
200,230,130,3872
500,190,130,4060
300,210,130,4083
200,250,130,4105
400,210,130,4603
300,230,130,4618
300,250,130,4879
500,210,130,5138
400,230,130,5211
400,250,130,5495
500,230,130,5807
500,250,130,6107
